From Date,To Date,PM2.5,PM10,NO,NO2,NOx
01-11-2021 03:15,01-11-2021 03:30,132,384,136.2,66.6,146.4
01-11-2021 03:30,01-11-2021 03:45,132,384,111.9,72.1,129.3
01-11-2021 03:45,01-11-2021 04:00,140,331,100.6,70.1,119.4
01-11-2021 04:00,01-11-2021 04:15,140,331,81.5,70.8,104.2
01-11-2021 04:15,01-11-2021 04:30,140,331,72.3,69.9,95.9
01-11-2021 04:30,01-11-2021 04:45,140,331,66.1,65.6,88.6
01-11-2021 04:45,01-11-2021 05:00,177,356,63.6,68.1,88.2
01-11-2021 05:00,01-11-2021 05:15,177,356,45.3,65,71.5
01-11-2021 05:15,01-11-2021 05:30,177,356,48.9,64.1,73.7
01-11-2021 05:30,01-11-2021 05:45,177,356,56.2,65.1,80
01-11-2021 05:45,01-11-2021 06:00,134,261,54.2,68,80.6
01-11-2021 06:00,01-11-2021 06:15,134,261,53.9,62.8,76.9
01-11-2021 06:15,01-11-2021 06:30,134,261,92.3,62.1,108.6
01-11-2021 06:30,01-11-2021 06:45,134,261,179.4,71.3,184.6
01-11-2021 06:45,01-11-2021 07:00,130,285,185.9,59.9,183.8
01-11-2021 07:00,01-11-2021 07:15,130,285,265.7,58.4,247.4
01-11-2021 07:15,01-11-2021 07:30,130,285,407.1,66.4,367.2
01-11-2021 07:30,01-11-2021 07:45,130,285,406.9,60.3,363.9
01-11-2021 07:45,01-11-2021 08:00,179,500,368.1,71.5,338.7
01-11-2021 08:00,01-11-2021 08:15,179,500,383.7,68.1,349.2
01-11-2021 08:15,01-11-2021 08:30,179,500,350.9,83.1,330.5
01-11-2021 08:30,01-11-2021 08:45,179,500,294.4,80.2,282.8
01-11-2021 08:45,01-11-2021 09:00,212,556,198.5,92.3,211.1
01-11-2021 09:00,01-11-2021 09:15,212,556,117.7,106.9,153.4
01-11-2021 09:15,01-11-2021 09:30,212,556,88.4,106.2,128.8
01-11-2021 09:30,01-11-2021 09:45,212,556,76.7,110.4,121.1
01-11-2021 09:45,01-11-2021 10:00,174,554,52,110.9,101.4
01-11-2021 10:00,01-11-2021 10:15,174,554,35.7,113.5,89.7
01-11-2021 10:15,01-11-2021 10:30,174,554,25.3,112.7,80.5
01-11-2021 10:30,01-11-2021 10:45,174,554,20.1,117.3,78.7
01-11-2021 10:45,01-11-2021 11:00,184,448,11.2,119.3,72.6
01-11-2021 11:00,01-11-2021 11:15,184,448,8.3,122,71.7
01-11-2021 11:15,01-11-2021 11:30,184,448,7.5,112.8,66.1
01-11-2021 11:30,01-11-2021 11:45,184,448,5.8,108.4,62.2
01-11-2021 11:45,01-11-2021 12:00,168,404,4.6,78,45.4
01-11-2021 12:00,01-11-2021 12:15,168,404,3.8,74.3,42.7
01-11-2021 12:15,01-11-2021 12:30,168,404,3.7,72,41.3
01-11-2021 12:30,01-11-2021 12:45,168,404,3.5,71.4,40.9
01-11-2021 12:45,01-11-2021 13:00,129,320,3.2,56.7,33
01-11-2021 13:00,01-11-2021 13:15,129,320,2.5,51.1,29.1
01-11-2021 13:15,01-11-2021 13:30,129,320,1.6,48.8,27.2
01-11-2021 13:30,01-11-2021 13:45,129,320,1.9,57.9,32.5
01-11-2021 13:45,01-11-2021 14:00,94,210,2.6,47.9,27.7
01-11-2021 14:00,01-11-2021 14:15,94,210,2,40.5,23.1
01-11-2021 14:15,01-11-2021 14:30,94,210,1.8,38.2,21.8
01-11-2021 14:30,01-11-2021 14:45,94,210,1.8,39.8,22.6
01-11-2021 14:45,01-11-2021 15:00,90,200,1.5,32.3,18.4
01-11-2021 15:00,01-11-2021 15:15,90,200,1.5,33.2,18.9
01-11-2021 15:15,01-11-2021 15:30,90,200,0.9,35.8,19.8
01-11-2021 15:30,01-11-2021 15:45,90,200,0.7,37.1,20.2
01-11-2021 15:45,01-11-2021 16:00,90,215,1.2,40.3,22.4
01-11-2021 16:00,01-11-2021 16:15,90,215,1.5,45.9,25.6
01-11-2021 16:15,01-11-2021 16:30,90,215,2,57.6,32.2
01-11-2021 16:30,01-11-2021 16:45,90,215,2.2,76.2,42.3
01-11-2021 16:45,01-11-2021 17:00,106,254,2.6,99.7,55.2
01-11-2021 17:00,01-11-2021 17:15,106,254,3.7,113.5,63.4
01-11-2021 17:15,01-11-2021 17:30,106,254,4.6,106.2,60.2
01-11-2021 17:30,01-11-2021 17:45,106,254,4.4,117.2,66
01-11-2021 17:45,01-11-2021 18:00,132,344,6.4,131.6,75.1
01-11-2021 18:00,01-11-2021 18:15,132,344,13.6,141.1,86.1
01-11-2021 18:15,01-11-2021 18:30,132,344,30.3,146.9,102.7
01-11-2021 18:30,01-11-2021 18:45,132,344,42.9,148.3,113.8
01-11-2021 18:45,01-11-2021 19:00,158,405,45.8,144.8,114.3
01-11-2021 19:00,01-11-2021 19:15,158,405,49.4,141.8,115.7
01-11-2021 19:15,01-11-2021 19:30,158,405,46.4,144.6,114.7
01-11-2021 19:30,01-11-2021 19:45,158,405,29.3,138.7,97.5
01-11-2021 19:45,01-11-2021 20:00,157,372,24.2,128.3,87.9
01-11-2021 20:00,01-11-2021 20:15,157,372,17.4,122.5,79.3
01-11-2021 20:15,01-11-2021 20:30,157,372,18.8,122.4,80.4
01-11-2021 20:30,01-11-2021 20:45,157,372,39,117.5,94.2
01-11-2021 20:45,01-11-2021 21:00,164,367,96.5,130.1,146.6
01-11-2021 21:00,01-11-2021 21:15,164,367,113.1,125.2,158.8
01-11-2021 21:15,01-11-2021 21:30,164,367,90.1,123.9,139.3
01-11-2021 21:30,01-11-2021 21:45,164,367,178.2,122.2,210.1
01-11-2021 21:45,01-11-2021 22:00,179,379,172.4,116.5,202.6
01-11-2021 22:00,01-11-2021 22:15,179,379,150.1,116.7,184.3
01-11-2021 22:15,01-11-2021 22:30,179,379,145.2,113.7,178.7
01-11-2021 22:30,01-11-2021 22:45,179,379,109.3,107.5,146.2
01-11-2021 22:45,01-11-2021 23:00,180,396,98.6,91.9,129.2
01-11-2021 23:00,01-11-2021 23:15,180,396,127.4,100.7,157.7
01-11-2021 23:15,01-11-2021 23:30,180,396,112.3,90.8,None
01-11-2021 23:30,01-11-2021 23:45,180,396,131.7,95.7,158.2
01-11-2021 23:45,02-11-2021 00:00,174,409,140.4,92.8,164.1
02-11-2021 00:00,02-11-2021 00:15,174,409,102.1,96.5,134.5
02-11-2021 00:15,02-11-2021 00:30,174,409,71.9,90.3,106.8
02-11-2021 00:30,02-11-2021 00:45,174,409,83.1,84.5,112
02-11-2021 00:45,02-11-2021 01:00,158,313,110.3,87.3,136.3
02-11-2021 01:00,02-11-2021 01:15,158,313,125.3,94.7,152.4
02-11-2021 01:15,02-11-2021 01:30,158,313,70.1,85.3,103.2
02-11-2021 01:30,02-11-2021 01:45,158,313,52.1,88.4,89.4
02-11-2021 01:45,02-11-2021 02:00,157,339,33.2,89.2,74.6
02-11-2021 02:00,02-11-2021 02:15,157,339,None,None,None
02-11-2021 02:15,02-11-2021 02:30,157,339,None,None,None
02-11-2021 02:30,02-11-2021 02:45,157,339,None,None,None
02-11-2021 02:45,02-11-2021 03:00,146,256,10.1,76.2,48.7
02-11-2021 03:00,02-11-2021 03:15,146,256,39.8,84.4,77.5
02-11-2021 03:15,02-11-2021 03:30,146,256,58.2,85.3,92.8
02-11-2021 03:30,02-11-2021 03:45,146,256,63,93,100.8
02-11-2021 03:45,02-11-2021 04:00,152,287,58.7,90.1,95.9
02-11-2021 04:00,02-11-2021 04:15,152,287,58.5,94,97.8
02-11-2021 04:15,02-11-2021 04:30,152,287,76.6,85.6,108.5
02-11-2021 04:30,02-11-2021 04:45,152,287,86.9,91.3,119
02-11-2021 04:45,02-11-2021 05:00,172,374,108.2,88.9,135.4
02-11-2021 05:00,02-11-2021 05:15,172,374,113.5,80.9,135.5
02-11-2021 05:15,02-11-2021 05:30,172,374,107.6,87.2,134.1
02-11-2021 05:30,02-11-2021 05:45,172,374,79.3,86.8,110.5
02-11-2021 05:45,02-11-2021 06:00,169,334,51.5,82.5,85.8
02-11-2021 06:00,02-11-2021 06:15,169,334,33,78.9,68.9
02-11-2021 06:15,02-11-2021 06:30,169,334,27.6,74.8,62.4
