locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:00:00+00:00,2021-02-08T16:30:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:00:00+00:00,2021-02-08T16:30:00+05:30,no2,61.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:00:00+00:00,2021-02-08T16:30:00+05:30,pm25,92,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T10:45:00+00:00,2021-02-08T16:15:00+05:30,no2,47.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T10:45:00+00:00,2021-02-08T16:15:00+05:30,pm25,92,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T10:45:00+00:00,2021-02-08T16:15:00+05:30,so2,29.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T10:45:00+00:00,2021-02-08T16:15:00+05:30,pm10,193,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T10:45:00+00:00,2021-02-08T16:15:00+05:30,co,1000,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T10:45:00+00:00,2021-02-08T16:15:00+05:30,o3,75.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:45:00+00:00,2021-02-08T15:15:00+05:30,so2,19.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:45:00+00:00,2021-02-08T15:15:00+05:30,o3,82.7,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:45:00+00:00,2021-02-08T15:15:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:45:00+00:00,2021-02-08T15:15:00+05:30,pm25,78,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:45:00+00:00,2021-02-08T15:15:00+05:30,no2,48.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:45:00+00:00,2021-02-08T15:15:00+05:30,pm10,175,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:00:00+00:00,2021-02-08T14:30:00+05:30,pm25,81,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:00:00+00:00,2021-02-08T14:30:00+05:30,so2,17.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:00:00+00:00,2021-02-08T14:30:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:00:00+00:00,2021-02-08T14:30:00+05:30,pm10,157,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:00:00+00:00,2021-02-08T14:30:00+05:30,no2,51.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T09:00:00+00:00,2021-02-08T14:30:00+05:30,o3,76.9,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T08:00:00+00:00,2021-02-08T13:30:00+05:30,no2,55.2,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T08:00:00+00:00,2021-02-08T13:30:00+05:30,pm10,190,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T08:00:00+00:00,2021-02-08T13:30:00+05:30,so2,17.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T08:00:00+00:00,2021-02-08T13:30:00+05:30,pm25,106,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T08:00:00+00:00,2021-02-08T13:30:00+05:30,o3,68.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T08:00:00+00:00,2021-02-08T13:30:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:45:00+00:00,2021-02-08T13:15:00+05:30,pm10,190,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:45:00+00:00,2021-02-08T13:15:00+05:30,pm25,106,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:45:00+00:00,2021-02-08T13:15:00+05:30,no2,50.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:45:00+00:00,2021-02-08T13:15:00+05:30,so2,17.7,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:45:00+00:00,2021-02-08T13:15:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:45:00+00:00,2021-02-08T13:15:00+05:30,o3,69.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:15:00+00:00,2021-02-08T12:45:00+05:30,pm10,190,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:15:00+00:00,2021-02-08T12:45:00+05:30,so2,18.2,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:15:00+00:00,2021-02-08T12:45:00+05:30,pm25,106,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:15:00+00:00,2021-02-08T12:45:00+05:30,no2,53,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T07:15:00+00:00,2021-02-08T12:45:00+05:30,o3,59.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:45:00+00:00,2021-02-08T12:15:00+05:30,so2,16.6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:45:00+00:00,2021-02-08T12:15:00+05:30,o3,52.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:45:00+00:00,2021-02-08T12:15:00+05:30,no2,60.2,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:45:00+00:00,2021-02-08T12:15:00+05:30,pm25,125,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:45:00+00:00,2021-02-08T12:15:00+05:30,pm10,202,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:45:00+00:00,2021-02-08T12:15:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:15:00+00:00,2021-02-08T11:45:00+05:30,no2,62.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:15:00+00:00,2021-02-08T11:45:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:15:00+00:00,2021-02-08T11:45:00+05:30,pm10,202,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:15:00+00:00,2021-02-08T11:45:00+05:30,pm25,125,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:15:00+00:00,2021-02-08T11:45:00+05:30,so2,25.7,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T06:15:00+00:00,2021-02-08T11:45:00+05:30,o3,49.6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T05:45:00+00:00,2021-02-08T11:15:00+05:30,pm10,272,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T05:45:00+00:00,2021-02-08T11:15:00+05:30,no2,63.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T05:45:00+00:00,2021-02-08T11:15:00+05:30,o3,38.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T05:45:00+00:00,2021-02-08T11:15:00+05:30,pm25,161,µg/m³,28.530785,77.271255
