From Date,To Date,pm2_5,pm10,NO,NO2,NOx
05-10-2021 07:00,05-10-2021 07:15,28,62,29.9,15.5,45.4
05-10-2021 07:15,05-10-2021 07:30,28,62,26.2,18.1,44.3
05-10-2021 07:30,05-10-2021 07:45,28,62,21.3,19.6,40.9
05-10-2021 07:45,05-10-2021 08:00,28,62,24.2,20.9,45.1
05-10-2021 08:00,05-10-2021 08:15,36,79,24.6,21.7,46.2
05-10-2021 08:15,05-10-2021 08:30,36,79,16.4,23.8,40.2
05-10-2021 08:30,05-10-2021 08:45,36,79,17.5,29.1,46.6
05-10-2021 08:45,05-10-2021 09:00,36,79,12.6,32.8,45.4
05-10-2021 09:00,05-10-2021 09:15,42,140,8.8,33.5,42.3
05-10-2021 09:15,05-10-2021 09:30,42,140,6.5,28.2,34.7
05-10-2021 09:30,05-10-2021 09:45,42,140,4.3,23.9,28.1
05-10-2021 09:45,05-10-2021 10:00,42,140,5.7,22.8,28.5
05-10-2021 10:00,05-10-2021 10:15,53,157,5.7,22.6,28.3
05-10-2021 10:15,05-10-2021 10:30,53,157,3,19.8,22.8
05-10-2021 10:30,05-10-2021 10:45,53,157,4.9,16,20.9
05-10-2021 10:45,05-10-2021 11:00,53,157,4.1,12.7,16.9
05-10-2021 11:00,05-10-2021 11:15,25,85,7.2,13.6,20.7
05-10-2021 11:15,05-10-2021 11:30,25,85,3.9,13.8,17.7
05-10-2021 11:30,05-10-2021 11:45,25,85,4.6,11.8,16.4
05-10-2021 11:45,05-10-2021 12:00,25,85,3.7,14.6,18.3
05-10-2021 12:00,05-10-2021 12:15,22,57,3.6,12,15.6
05-10-2021 12:15,05-10-2021 12:30,22,57,3.5,13.9,17.3
05-10-2021 12:30,05-10-2021 12:45,22,57,4.9,10,14.9
05-10-2021 12:45,05-10-2021 13:00,22,57,4.7,8.2,12.9
05-10-2021 13:00,05-10-2021 13:15,13,55,4.5,9.1,13.6
05-10-2021 13:15,05-10-2021 13:30,13,55,5.2,7.6,12.8
05-10-2021 13:30,05-10-2021 13:45,13,55,None,None,None
05-10-2021 13:45,05-10-2021 14:00,13,55,None,None,None
05-10-2021 14:00,05-10-2021 14:15,18,59,6,11,17.1
05-10-2021 14:15,05-10-2021 14:30,18,59,4.4,11,15.3
05-10-2021 14:30,05-10-2021 14:45,18,59,2.8,11.2,14
05-10-2021 14:45,05-10-2021 15:00,18,59,4.5,11.2,15.7
05-10-2021 15:00,05-10-2021 15:15,30,90,2.5,11.9,14.4
05-10-2021 15:15,05-10-2021 15:30,30,90,4.3,10.2,14.4
05-10-2021 15:30,05-10-2021 15:45,30,90,2.6,9.9,12.4
05-10-2021 15:45,05-10-2021 16:00,30,90,3.9,8.2,12.1
05-10-2021 16:00,05-10-2021 16:15,29,79,1.2,9.1,10.3
05-10-2021 16:15,05-10-2021 16:30,29,79,3.5,8.7,12.2
05-10-2021 16:30,05-10-2021 16:45,29,79,3.2,7.4,10.6
05-10-2021 16:45,05-10-2021 17:00,29,79,4,7.4,11.4
05-10-2021 17:00,05-10-2021 17:15,16,84,4.3,9.8,14.1
05-10-2021 17:15,05-10-2021 17:30,16,84,4.1,10,14.1
05-10-2021 17:30,05-10-2021 17:45,16,84,3.5,11.3,14.9
05-10-2021 17:45,05-10-2021 18:00,16,84,6.8,14.3,21.1
05-10-2021 18:00,05-10-2021 18:15,17,57,3.7,11.9,15.6
05-10-2021 18:15,05-10-2021 18:30,17,57,2.3,12.3,14.6
05-10-2021 18:30,05-10-2021 18:45,17,57,3.8,13.6,17.4
05-10-2021 18:45,05-10-2021 19:00,17,57,4.2,13.7,17.9
05-10-2021 19:00,05-10-2021 19:15,9,48,3.5,13,16.5
05-10-2021 19:15,05-10-2021 19:30,9,48,5.2,13,18.1
05-10-2021 19:30,05-10-2021 19:45,9,48,4.1,12.4,16.5
05-10-2021 19:45,05-10-2021 20:00,9,48,3.5,10.6,14.1
05-10-2021 20:00,05-10-2021 20:15,11,41,3.1,11.4,14.5
05-10-2021 20:15,05-10-2021 20:30,11,41,3.1,11.1,14.2
05-10-2021 20:30,05-10-2021 20:45,11,41,5.8,11.2,17
05-10-2021 20:45,05-10-2021 21:00,11,41,3.6,15.2,18.8
05-10-2021 21:00,05-10-2021 21:15,18,53,10,14.7,24.7
05-10-2021 21:15,05-10-2021 21:30,18,53,4.6,19,23.6
05-10-2021 21:30,05-10-2021 21:45,18,53,5.3,20.3,25.6
05-10-2021 21:45,05-10-2021 22:00,18,53,5.1,18.9,24
05-10-2021 22:00,05-10-2021 22:15,22,92,7.2,19.1,26.3
05-10-2021 22:15,05-10-2021 22:30,22,92,5.7,22.2,27.9
05-10-2021 22:30,05-10-2021 22:45,22,92,6.3,21.8,28.1
05-10-2021 22:45,05-10-2021 23:00,22,92,7.3,21.3,28.6
05-10-2021 23:00,05-10-2021 23:15,24,134,7.8,18.1,25.9
05-10-2021 23:15,05-10-2021 23:30,24,134,9.9,19.4,29.4
05-10-2021 23:30,05-10-2021 23:45,24,134,13.2,19.4,32.6
05-10-2021 23:45,06-10-2021 00:00,24,134,20.5,16.9,37.3
